LocationName,LocationType,Address
"UA ? Flowing Wells, Flowing Wells High School",Additional Location,"3725 N Flowing Wells Road, Tucson, AZ 85705"
Southwest University of Visual Arts,Institution,"2525 North Country Club Road, Tucson, AZ 85716"
The Art Center Design College - Albuquerque,Additional Location,"5000 Marble NE, Albuquerque, NM 87110"
Brillare Hairdressing Academy - Scottsdale,Institution,"15147 North Scottsdale Road, Building H, Suite 300, Scottsdale, AZ 85254"
Brillare Hairdressing Academy - Phoenix,Additional Location,"15210 S. 50TH STREET SUITE 150, PHOENIX, AZ 85044"
Central Arizona College,Institution,"8470 N Overfield Rd, Coolidge, AZ 85228-9778"
Central Arizona College - Aravaipa Campus,Additional Location,"80440 E Aravaipa Road, Winkelman, AZ 85292"
Central Arizona College - Superstition Mountain Campus,Additional Location,"273 Old West Highway, Apache Junction, AZ 85219-5231"
Central Arizona College - Florence Center (ASPC),Additional Location,"800 E. Butte, Building 100, Florence, AZ 85232"
Central Arizona College at Corporate Center,Additional Location,"540 N. Camino Mercado, Suite 1, Casa Grande, AZ 85222"
Central Arizona College at Maricopa Center,Additional Location,"20800 N. John Wayne Parkway, Maricopa, AZ 85239"
Central Arizona College - Maricopa,Additional Location,"17945 N. Regent Drive, Maricopa, AZ 85138"
Central Arizona College at San Tan Campus,Additional Location,"3736 E. Bella Vista Road, San Tan Valley, AZ 85143"
Central Arizona College ? San Tan Center,Additional Location,"2474 E. Hunt Highway, Suite 100, San Tan Valley, AZ 85143"
Charles of Italy Beauty College,Institution,"1987 McCulloch Blvd, Suite 205, Lake Havasu City, AZ 86403"
Charles of Italy Beauty College,Additional Location,"2135 South Highway 95, Suite 191, Bullhead City, AZ 86440"
Cortiva Institute - Tucson,Institution,"6390 East Broadway Boulevard, Tucson, AZ 85710"
DeVoe College of Beauty,Institution,"750 Bartow Dr, Sierra Vista, AZ 85635-1832"
Avalon School of Cosmetology,Institution,"2111 S Alma School Rd Ste 21, Mesa, AZ 85210"
Eastern Arizona College,Institution,"615 N. Stadium Ave., Thatcher, AZ 85552-0769"
Eastern Arizona College - Gila Pueblo Campus,Additional Location,"8274 Six Shooter Canyon Rd., Globe, AZ 85502-2656"
Eastern Arizona College - Payson Campus,Additional Location,"201 N. Mud Springs Rd., Payson, AZ 85547-0359"
Eastern Arizona College at Morenci,Additional Location,"538 Stadium Drive, Morenci, AZ 85540"
Eastern Arizona College at Eastern Arizona Academy of Cosmetology,Additional Location,"1926 West Thatcher Boulevard, Safford, AZ 85546"
Eastern Arizona College at Swift Trail Correctional Institute,Additional Location,"1529 W. Highway 366, Safford, AZ 85546"
Eastern Arizona College at San Carlos,Additional Location,"Corner of Tonto and Mesa Drives, San Carlos, AZ 85550"
Eastern Arizona College at Arizona Dept. of Corrections of Safford-Fort Grant,Additional Location,"15500 S. Fort Grant Road, Safford, AZ 85643"
Eastern Arizona College at Arizona Dept. of Corrections of Safford-Graham/Tonto,Additional Location,"896 S. Cook Road, Safford, AZ 85546"
Northern Arizona Vocational Institute of Technology (NAVIT),Additional Location,"951  W. Snowflake Blvd., Snowflake, AZ 85937"
Thatcher High School,Additional Location,"601 N. 3rd Ave, Thatcher, AZ 85552"
Pleasant Valley Fire District,Additional Location,"47529 AZ-288, Young, AZ 85554"
Arizona Department of Corrections-Globe,Additional Location,"1000 Fairgrounds Rd., Globe, AZ 85501"
Gila County Maintenance Yard-Payson,Additional Location,"5318 E. Hwy 260, Payson, AZ 85541"
Miami Regional Training Center,Additional Location,"4053 E. Highway 60/70, Miami, AZ 85539"
Eastern Arizona Academy of Cosmetology (EAAC),Additional Location,"1550 Thatcher Blvd., Safford, AZ 85546"
Globe High School,Additional Location,"437 W. High Street, Globe, AZ 85501"
Payson High School,Additional Location,"301 South McLane, Payson, AZ 85541"
Blue Ridge HIgh School NAVIT,Additional Location,"1200 W. White Mountain Blvd., Lakeside, AZ 85929"
Show Low High School NAVIT,Additional Location,"1201 N. Cougar Ln., Show Low, AZ 85901"
Mogollon High School NAVIT,Additional Location,"3450 Mustang, Heber, AZ 85928"
Saint John's High School NAVIT,Additional Location,"360 Redskin Dr., St. John's, AZ 85936"
Payson Fire Department Station 11,Additional Location,"400 West Main Street, Payson, AZ 85541"
The School of Architecture at Taliesin,Institution,"Taliesin West, P.O. Box 4430, Scottsdale, AZ 85261"
Maricopa Community Colleges - Glendale Community College,Institution,"6000 W Olive Ave, Glendale, AZ 85302"
Maricopa Community Colleges-Glendale Community College at Tractor Trailer Driving,Additional Location,"6002 W. Sherman St., Phoenix, AZ 85043-3535"
Maricopa Community Colleges-Glendale Community College at Communiversity@Surprise,Additional Location,"15950 West Civic Center Plaza, Surprise, AZ 85374"
Maricopa Community Colleges at Glendale Regional Public Safety Training Center,Additional Location,"11550 W. Glendale Ave., Glendale, AZ 85307"
Maricopa Community Colleges at Arizona Law Enforcement Academy,Additional Location,"10001 S. 15th Ave, Phoenix, AZ 85041"
Maricopa Community Colleges at Buckeye Fire Department,Additional Location,"115 S. 7th St., Buckeye, AZ 85326"
Discover Financial Services,Additional Location,"2402 W. Beardsley Road, Phoenix, AZ 85027"
Apollo High School,Additional Location,"8045 N. 47th Avenue, Glendale, AZ 85302"
Barry Goldwater High School,Additional Location,"2820 W. Rose Garden Lane, Phoenix, AZ 85027"
Cactus High School,Additional Location,"6330 W. Greenway Road, Glendale, AZ 85306"
Centennial High School,Additional Location,"14388 N. 79th Avenue, Peoria, AZ 85381"
Ironwood High School,Additional Location,"16051 W. Sweetwater Avenue, Glendale, AZ 85304"
Liberty High School,Additional Location,"9621 W. Speckled Gecko Drive, Peoria, AZ 85383"
Moon Valley High School,Additional Location,"3625 W. Cactus Rd., Phoenix, AZ 85029"
Peoria High School,Additional Location,"11200 N. 83rd Ave., Peoria, AZ 85345"
Raymond S. Kellis High School,Additional Location,"8990 W. Orangewood Avenue, Glendale, AZ 85305"
Shadow Ridge High School,Additional Location,"10909 N. Perryville Road, Surprise, AZ 85388"
Sunnyslope High School,Additional Location,"35 W. Dunlap Avenue, Phoenix, AZ 85020"
Sunrise Mountain High School,Additional Location,"21200 N. 83rd Ave., Peoria, AZ 85382"
Thunderbird High School,Additional Location,"1750 W. Thunderbrid Road, Phoenix, AZ 85023"
Washington High School,Additional Location,"2217 W. Glendale Avenue, Phoenix, AZ 85021"
Greenway High School,Additional Location,"3930 W. Greenway Road, Phoenix, AZ 85053"
West-MEC Northwest Campus,Additional Location,"13201 W. Grand Avenue, Surprise, AZ 85374"
Grand Canyon University,Institution,"3300 W Camelback Rd, Phoenix, AZ 85017"
Grand Canyon University at Presbyterian Healthcare Services (PHS) Northside,Additional Location,"5901 Harper Drive Northeast, Albuquerque, NM 87109"
Grand Canyon University at Avondale Fire Department,Additional Location,"1825 N 107th Ave, Avondale, AZ 85323"
Grand Canyon University at Estrella Mountain Community College,Additional Location,"3000 N. Dysart Road, Avondale, AZ 85392"
Grand Canyon University at Casa Grande Medical Center,Additional Location,"1800 E. Florence Blvd, Casa Grande, AZ 85222"
Grand Canyon University at Chandler Regional Medical Center,Additional Location,"475 S. Dobson Rd, Chandler, AZ 85224"
Grand Canyon University at Banner Gateway Medical Center,Additional Location,"1900 N. Higley Road, Gilbert, AZ 85234"
Grand Canyon University at Mercy Gilbert Medical Center,Additional Location,"3555 S. Val Vista Drive, Gilbert, AZ 85296"
Grand Canyon University at Abrazo Phoenix / West Valley Hospital,Additional Location,"13677 W. McDowell Rd, Goodyear, AZ 85338"
Grand Canyon University at AT Still University,Additional Location,"5850 E. Still Circle, Mesa, AZ 85206"
Grand Canyon University at Banner Baywood Medical Center,Additional Location,"6644 E. Baywood Avenue, Mesa, AZ 85206"
Grand Canyon University at Banner Desert Medical Center,Additional Location,"1400 S Dobson Rd, Mesa, AZ 85202"
Grand Canyon University at Mesa Community College,Additional Location,"1833 W. Southern Avenue, Mesa, AZ 85202"
Grand Canyon University at Mesa Unified School District,Additional Location,"63 E Main St, Mesa, AZ 85621"
Grand Canyon University at Mountain Vista Medical Center,Additional Location,"1301 S. Crimson Road, Mesa, AZ 85209"
Grand Canyon University at Public Safety Administration Building,Additional Location,"8351 W. Cinnabar Avenue, Peoria, AZ 85345"
Grand Canyon University at Banner - Thunderbird,Additional Location,"5555 W Thunderbird Rd, Phoenix, AZ 85306"
Grand Canyon University at Banner Estrella Medical Center,Additional Location,"9201 W Thomas Road, Phoenix, AZ 85037"
Grand Canyon University at Banner Good Samaritan Med. Center,Additional Location,"1111 E McDowell Rd, Phoenix, AZ 85006"
Grand Canyon University at John C. Lincoln - North Mountain,Additional Location,"9202 N 2nd St, Phoenix, AZ 85020"
"Grand Canyon University at John C. Lincoln, Deer Valley",Additional Location,"19829 N 27th Ave, Phoenix, AZ 85027"
Grand Canyon University at Maricopa County Medical Center,Additional Location,"2601 E. Roosevelt St, Phoenix, AZ 85008"
Grand Canyon University at Mayo Clinic Hospital,Additional Location,"5777 E. Mayo Blvd, Phoenix, AZ 85054"
Grand Canyon University at Phoenix  VA Healthcare System,Additional Location,"650 E. Indian School Rd., Phoenix, AZ 85012-1892"
Grand Canyon University at Phoenix Children's Hospital,Additional Location,"1919 E. Thomas Rd, Phoenix, AZ 85016"
Grand Canyon University at St. Joseph Hospital,Additional Location,"350 W. Thomas Rd, Phoenix, AZ 85013"
Grand Canyon University at Scottsdale Healthcare - Osborn,Additional Location,"7400 E. Osborn Rd, Scottsdale, AZ 85251"
Grand Canyon University at Scottsdale Healthcare - Shea,Additional Location,"9003 E Shea Blvd, Scottsdale, AZ 85260"
Grand Canyon University at Banner Boswell,Additional Location,"10401 W. Thunderbird Blvd, Sun City, AZ 85351"
Grand Canyon University at GCU Tempe,Additional Location,"1150 W. Grove Parkway, Suite 101, Tempe, AZ 85283"
Grand Canyon University at Tempe St. Lukes Medical Center,Additional Location,"1500 S. Mill Ave, Tempe, AZ 85281"
Grand Canyon University at St. Joseph's Hospital/Carondelet,Additional Location,"350 W. Wilmot Rd, Tucson, AZ 85711"
Grand Canyon University at Tucson Medical Center,Additional Location,"5301 E Grant Rd, Tucson, AZ 85712"
Grand Canyon University at Albuquerque,Additional Location,"6700 Jefferson NE, Building D, Suite D-2, Albuquerque, NM 87109"
Grand Canyon University at Casa Adobes Baptist Church,Additional Location,"10801 North La Cholla Blvd, Tucson, AZ 85742"
Grand Canyon University at Jobing.com,Additional Location,"4747 North 22nd Street, Phoenix, AZ 85016"
Grand Canyon University at Pantano Christian Church,Additional Location,"10355 East 29th Street, Tucson, AZ 85748"
Grand Canyon University at Phoenix Baptist Hospital,Additional Location,"2000 West Bethany Home, Phoenix, AZ 85015"
Grand Canyon University at Carondelet Holy Cross Hospital,Additional Location,"1171 West Target Range Road, Nogales, AZ 85261"
Grand Canyon University at Chandler Fire Department,Additional Location,"221 East Boston Street, Chandler, AZ 85225"
Grand Canyon University at Maricopa County Administration,Additional Location,"301 West Jefferson, Suite 240, Phoenix, AZ 85003"
Grand Canyon University at St. Mary's Hospital,Additional Location,"1601 West St. Mary's Road, Tucson, AZ 85745"
Grand Canyon University at Maricopa County HR Office,Additional Location,"301 West Jefferson, Phoenix, AZ 85006"
Grand Canyon University at Ritz Carlton,Additional Location,"2401 East Camelback, Phoenix, AZ 85016"
Grand Canyon University at Tucson VA,Additional Location,"3601 South 6th Ave, Tucson, AZ 85723"
Grand Canyon University at Fountain Hills HS,Additional Location,"16100 East Palisades Blvd, Fountain Hills, AZ 85268"
Grand Canyon University at Maricopa County Sheriff's Dept,Additional Location,"100 West Washington Street, Avondale, AZ 85003"
Grand Canyon University at Yavapai Community College,Additional Location,"1100 E. Sheldon Street, Prescott, AZ 86301"
Grand Canyon University at GCU Tucson,Additional Location,"3500 N. Campbell Ave., Tucson, AZ 85719"
Grand Canyon University at GCU Scottsdale,Additional Location,"9201 E. Mountain View, Scottsdale, AZ 85260"
Scottsdale Community College,Additional Location,"9000 East Chaparral Road, Scottsdale, AZ 85352"
Kyrene School District Office,Additional Location,"8700 S. Kyrene Rd., Tempe, AZ 85284"
Mesa Community College - Red Mountain Campus,Additional Location,"7110 East McKellips Road, Mesa, AZ 85207"
Chandler-Gilbert Community College,Additional Location,"2626 E. Pecos Road, Chandler, AZ 85225"
Estrella Mountain Community College - Buckeye,Additional Location,"902 E. Eason, Buckeye, AZ 85326"
Glendale Community College,Additional Location,"6000 W. Olive Avenue, Glendale, AZ 85302"
AT Still GCU Center,Additional Location,"5845 E. Still Circle, Mesa, AZ 85206"
Anthem College - Phoenix,Institution,"1515 E Indian School Road, Phoenix, AZ 85014"
Anthem College - Atlanta,Additional Location,"2450 Piedmont Road, Atlanta, GA 30324"
Anthem College - Kansas City,Additional Location,"9001 State Line Rd, Kansas City, MO 64114"
Anthem College - Sacramento,Additional Location,"9738 Lincoln Village Drive #100, Sacramento, CA 95827"
Anthem College - St. Louis Park,Additional Location,"5100 Gamble Drive, Saint Louis Park, MN 55416"
Anthem Career College - Nashville,Additional Location,"560 Royal Parkway, Nashville, TN 37211"
International Academy of Hair Design - Mesa,Institution,"1445 West Southern Avenue, Suite 2006, Mesa, AZ 85202"
International Academy of Hair Design - Tempe,Additional Location,"4812 South Mill Avenue, Tempe, AZ 85282"
International Academy of Hair Design - Phoenix,Additional Location,"7611 West Thomas Road, Suite F001-F004, Phoenix, AZ 85033"
International Academy of Hair Design - Phoenix,Additional Location,"9617 North Metro Parkway, Space 2112, Phoenix, AZ 85051"
Lamson College,Institution,"875 West Elliot Road, Suite 206, Tempe, AZ 85284"
